"","trip_id","duration","start_time","end_time","passholder_type","city","month","day","year","dummy","memberType","mDuration","number_trips","by100000"
"74",4533133,540,2016-01-19,2016-01-19,"Indego30","Philly",1,19,2016,0,"member",1167.29366602687,521,33.2297534492612
"75",5452606,226753,2016-01-19,2016-01-20,"Registered","Washington",1,19,2016,0,"member",579361.903885481,3912,581.945411378282
"76",6420,383,2016-01-19,2016-01-19,"Subscriber","Boston",1,19,2016,0,"member",487.041095890411,292,43.7691208852155
"77",8621962,271,2016-01-20,2016-01-21,"Subscriber","Chicago",1,20,2016,0,"member",606.431980906921,2933,108.807025379897
"78",4534037,240,2016-01-20,2016-01-20,"Indego30","Philly",1,20,2016,0,"member",837.081081081081,740,47.1977304269736
"79",5448285,925886,2016-01-20,2016-01-21,"Registered","Washington",1,20,2016,0,"member",603408.518398519,4321,642.787863641503
"80",6712,1136,2016-01-20,2016-01-20,"Subscriber","Boston",1,20,2016,0,"member",498.335714285714,420,62.955584834899
"81",8627603,235,2016-01-21,2016-01-22,"Subscriber","Chicago",1,21,2016,0,"member",580.588358131036,3831,142.120598101052
"82",4535130,720,2016-01-21,2016-01-21,"Indego30","Philly",1,21,2016,0,"member",974.770408163265,784,50.0040819658748
"83",5444057,1745526,2016-01-21,2016-01-22,"Registered","Washington",1,21,2016,0,"member",612292.127956481,4228,628.953271806589
"84",7132,1240,2016-01-21,2016-01-21,"Subscriber","Boston",1,21,2016,0,"member",606.890243902439,410,61.45664233883
"85",8632629,519,2016-01-22,2016-01-23,"Subscriber","Chicago",1,22,2016,0,"member",610.144077448747,3512,130.286489305898
"86",4536219,600,2016-01-22,2016-01-22,"Walk-up","Philly",1,22,2016,0,"shortterm",2432.91005291005,567,36.1636664217487
"87",5441072,690762,2016-01-22,2016-01-22,"Registered","Washington",1,22,2016,0,"member",591438.996649916,2985,444.045770185116
"88",7539,373,2016-01-22,2016-01-22,"Subscriber","Boston",1,22,2016,0,"member",495.927058823529,425,63.7050560829335
"89",8636100,387,2016-01-23,2016-01-24,"Subscriber","Chicago",1,23,2016,0,"member",678,2279,84.5452474738444
"90",7967,150,2016-01-23,2016-01-23,"Subscriber","Boston",1,23,2016,0,"member",647.767295597484,159,23.8331856874975
"91",8638910,310,2016-01-24,2016-01-25,"Subscriber","Chicago",1,24,2016,0,"member",648.676559356137,1988,73.7498692312429
"92",8126,273,2016-01-24,2016-01-24,"Subscriber","Boston",1,24,2016,0,"member",534.699481865285,193,28.9295901741322
"93",8644812,390,2016-01-25,2016-01-25,"Subscriber","Chicago",1,25,2016,0,"member",648.787395782246,4078,151.283685475356
"94",4537227,660,2016-01-25,2016-01-25,"Indego30","Philly",1,25,2016,0,"member",660,1,0.0637807167932076
"95",8316,184,2016-01-25,2016-01-25,"Subscriber","Boston",1,25,2016,0,"member",626.704103671706,463,69.4010375679958
"96",8650781,293,2016-01-26,2016-01-27,"Subscriber","Chicago",1,26,2016,0,"member",626.324474231569,4327,160.520967889129
"97",4537241,86400,2016-01-26,2016-01-27,"Indego30","Philly",1,26,2016,0,"member",15080,6,0.382684300759246
"98",8782,1147,2016-01-26,2016-01-26,"Subscriber","Boston",1,26,2016,0,"member",654.033450704225,568,85.1399337767205
"99",8656919,148,2016-01-27,2016-01-27,"Subscriber","Chicago",1,27,2016,0,"member",614.625082799735,4529,168.014666875402
"100",4537302,360,2016-01-27,2016-01-27,"Indego30","Philly",1,27,2016,0,"member",5826.05678233438,317,20.2184872234468
"101",5440544,1821224,2016-01-27,2016-01-28,"Registered","Washington",1,27,2016,0,"member",727616.206439394,528,78.5447794498295
"102",9350,439,2016-01-27,2016-01-27,"Subscriber","Boston",1,27,2016,0,"member",552.027419354839,620,92.9344347562794
"103",8663340,1127,2016-01-28,2016-01-29,"Subscriber","Chicago",1,28,2016,0,"member",639.315520545029,4697,174.247050190718
"104",4537698,180,2016-01-28,2016-01-28,"Indego30","Philly",1,28,2016,0,"member",1998.1592920354,565,36.0361049881623
"105",5438522,761585,2016-01-28,2016-01-29,"Registered","Washington",1,28,2016,0,"member",816380.586053412,2022,300.79080312037
"106",9970,681,2016-01-28,2016-01-28,"Subscriber","Boston",1,28,2016,0,"member",712.374392220421,617,92.4847520074587
"107",8669455,782,2016-01-29,2016-01-30,"Subscriber","Chicago",1,29,2016,0,"member",597.555410691004,4602,170.722785815986
"108",4538385,360,2016-01-29,2016-01-29,"Indego30","Philly",1,29,2016,0,"member",1018.41059602649,604,38.5235529430974
"109",5435580,1114344,2016-01-29,2016-01-30,"Registered","Washington",1,29,2016,0,"member",703292.015635622,2942,437.649130949618
"110",10578,123,2016-01-29,2016-01-29,"Subscriber","Boston",1,29,2016,0,"member",1341.45,600,89.9365497641414
"111",8674652,1099,2016-01-30,2016-01-31,"Subscriber","Chicago",1,30,2016,0,"member",877.572469045885,4119,152.804683784452
"112",4539100,600,2016-01-30,2016-01-30,"Indego30","Philly",1,30,2016,0,"member",1833.63844393593,437,27.8721732386317
"113",5432758,511711,2016-01-30,2016-01-31,"Registered","Washington",1,30,2016,0,"member",899812.193479802,2822,419.798044711021
"114",11181,374,2016-01-30,2016-01-30,"Subscriber","Boston",1,30,2016,0,"member",2136.88812785388,438,65.6536813278232
"115",8677704,311,2016-01-31,2016-02-01,"Subscriber","Chicago",1,31,2016,0,"member",725.070460704607,2214,82.1339086911327
"116",4539622,480,2016-01-31,2016-01-31,"Indego30","Philly",1,31,2016,0,"member",1295.3355704698,596,38.0133072087517
"117",5429147,250437,2016-01-31,2016-01-31,"Registered","Washington",1,31,2016,0,"member",1010426.77845472,3611,537.1689367298
"118",11619,917,2016-01-31,2016-01-31,"Subscriber","Boston",1,31,2016,0,"member",973.983758700696,431,64.6044215805749
"119",8685004,66,2016-02-01,2016-02-02,"Subscriber","Chicago",2,1,2016,0,"member",693.829472916287,5483,203.405700701662
"120",4540364,2100,2016-02-01,2016-02-01,"Indego30","Philly",2,1,2016,0,"member",1142.80291970803,685,43.6897910033472
"121",5424543,292727,2016-02-01,2016-02-02,"Registered","Washington",2,1,2016,0,"member",751643.389878367,4604,684.886675354195
"122",12056,293,2016-02-01,2016-02-01,"Subscriber","Boston",2,1,2016,0,"member",643.772032902468,851,127.560006415474
"123",8689478,964,2016-02-02,2016-02-03,"Customer","Chicago",2,2,2016,0,"shortterm",574.962467362924,3064,113.666800465055
"124",4541327,660,2016-02-02,2016-02-02,"Indego30","Philly",2,2,2016,0,"member",1303.96284829721,969,61.8035145726182
"125",5417959,361380,2016-02-02,2016-02-03,"Registered","Washington",2,2,2016,0,"member",729081.478888214,6584,979.429598291056
"126",12907,747,2016-02-02,2016-02-02,"Subscriber","Boston",2,2,2016,0,"member",703.023284313726,816,122.313707679232
"127",8695684,341,2016-02-03,2016-02-04,"Subscriber","Chicago",2,3,2016,0,"member",629.614633087277,4606,170.871175894922
"128",4542544,420,2016-02-03,2016-02-03,"Indego30","Philly",2,3,2016,0,"member",942,590,37.6306229079925
"129",5413716,449799,2016-02-03,2016-02-04,"Registered","Washington",2,3,2016,0,"member",636693.978317228,4243,631.184657586414
"130",13723,1255,2016-02-03,2016-02-03,"Subscriber","Boston",2,3,2016,0,"member",509.52389380531,565,84.6902510278998
"131",8701965,365,2016-02-04,2016-02-05,"Subscriber","Chicago",2,4,2016,0,"member",628.258099352052,4630,171.761516368539
"132",4543454,660,2016-02-04,2016-02-04,"Indego30","Philly",2,4,2016,0,"member",868.967741935484,930,59.3160666176831
"133",5407025,752115,2016-02-04,2016-02-05,"Registered","Washington",2,4,2016,0,"member",710512.24525482,6691,995.346816853806
"134",14287,271,2016-02-04,2016-02-04,"Subscriber","Boston",2,4,2016,0,"member",807.532418952618,802,120.215188184736
"135",8708059,560,2016-02-05,2016-02-06,"Subscriber","Chicago",2,5,2016,0,"member",603.128792987188,4449,165.04686529668
"136",4544683,1020,2016-02-05,2016-02-05,"Indego30","Philly",2,5,2016,0,"member",1032.0726172466,661,42.1590538003102
"137",5401203,258874,2016-02-05,2016-02-06,"Registered","Washington",2,5,2016,0,"member",702800.46238406,5822,866.075200675961
"138",15090,259,2016-02-05,2016-02-05,"Subscriber","Boston",2,5,2016,0,"member",681.240601503759,133,19.935935197718
"139",8712615,159,2016-02-06,2016-02-07,"Subscriber","Chicago",2,6,2016,0,"member",847.848049281314,3409,126.465444773293
"140",4545646,1560,2016-02-06,2016-02-06,"Indego30","Philly",2,6,2016,0,"member",1984.93273542601,669,42.6692995346559
"141",5396161,764995,2016-02-06,2016-02-07,"Registered","Washington",2,6,2016,0,"member",841034.631495438,5042,750.043140125077
"142",15223,1086,2016-02-06,2016-02-06,"Subscriber","Boston",2,6,2016,0,"member",754.34496124031,258,38.6727163985808
"143",8716583,334,2016-02-07,2016-02-08,"Subscriber","Chicago",2,7,2016,0,"member",824.306291390728,3020,112.034509596757
"144",4546401,1200,2016-02-07,2016-02-07,"Indego30","Philly",2,7,2016,0,"member",1419.84819734345,527,33.6124377500204
"145",5391497,217957,2016-02-07,2016-02-08,"Registered","Washington",2,7,2016,0,"member",876411.186106346,4664,693.812218473494
"146",15481,557,2016-02-07,2016-02-07,"Customer","Boston",2,7,2016,0,"shortterm",584.860759493671,316,47.3665828757811
"147",8722164,255,2016-02-08,2016-02-09,"Subscriber","Chicago",2,8,2016,0,"member",588.105060240964,4150,153.954706896206
"148",4547085,1860,2016-02-08,2016-02-08,"Indego30","Philly",2,8,2016,0,"member",924.302884615385,832,53.0655563719487
"149",5385503,168718,2016-02-08,2016-02-08,"Registered","Washington",2,8,2016,0,"member",713241.207874541,5994,891.661757617951
"150",15789,334,2016-02-08,2016-02-08,"Subscriber","Boston",2,8,2016,0,"member",452.863247863248,117,17.5376272040076
"151",8726667,724,2016-02-09,2016-02-10,"Subscriber","Chicago",2,9,2016,0,"member",553.043959622273,3071,113.926483103193
"152",4548051,1140,2016-02-09,2016-02-09,"Indego30","Philly",2,9,2016,0,"member",989.737302977233,571,36.4187892889215
"153",5381450,1717513,2016-02-09,2016-02-10,"Registered","Washington",2,9,2016,0,"member",702643.796693807,4053,602.920437708635
"154",15914,261,2016-02-09,2016-02-09,"Subscriber","Boston",2,9,2016,0,"member",2039.97326203209,374,56.0604493529815
"155",8731320,171,2016-02-10,2016-02-10,"Subscriber","Chicago",2,10,2016,0,"member",563.616704435092,3089,114.594238458405
"156",4549150,960,2016-02-10,2016-02-10,"Indego30","Philly",2,10,2016,0,"member",991.285081240768,677,43.1795452690016
"157",5375957,457545,2016-02-10,2016-02-11,"Registered","Washington",2,10,2016,0,"member",623307.654651374,5493,817.133472571806
"158",16288,1276,2016-02-10,2016-02-10,"Subscriber","Boston",2,10,2016,0,"member",505.742071881607,473,70.8999800640648
"159",8736450,627,2016-02-11,2016-02-12,"Subscriber","Chicago",2,11,2016,0,"member",607.831208257438,3294,122.19923000388
"160",4550196,420,2016-02-11,2016-02-11,"Indego30","Philly",2,11,2016,0,"member",854.97520661157,605,38.5873336598906
"161",5371711,194902,2016-02-11,2016-02-12,"Registered","Washington",2,11,2016,0,"member",627355.29463024,4246,631.630934742379
"162",16761,195,2016-02-11,2016-02-11,"Subscriber","Boston",2,11,2016,0,"member",498.166990291262,515,77.1955385475547
"163",8741278,268,2016-02-12,2016-02-13,"Subscriber","Chicago",2,12,2016,0,"member",561.459434255518,3217,119.34272098436
"164",4551148,360,2016-02-12,2016-02-12,"Indego30","Philly",2,12,2016,0,"member",848.52207293666,521,33.2297534492612
"165",5367348,289701,2016-02-12,2016-02-13,"Registered","Washington",2,12,2016,0,"member",632978.237222095,4363,649.035743825012
"166",17276,341,2016-02-12,2016-02-12,"Subscriber","Boston",2,12,2016,0,"member",527.918269230769,416,62.3560078364714
"167",8743560,275,2016-02-13,2016-02-13,"Subscriber","Chicago",2,13,2016,0,"member",627.558895207149,1231,45.6670467925855
"168",4552334,1140,2016-02-13,2016-02-13,"Indego30","Philly",2,13,2016,0,"member",1193.3023255814,215,13.7128541105396
